,Case study,Outliers consistently identified
0,CHN 1992 - 1995,"['KWT 1992', 'MYS 1992', 'SGP 1994', 'SGP 1995']"
1,TUN 2011 - 2020,[]
2,CRI 1949 - 2015,"['BRA 2006', 'CHL 2014', 'PAN 1987', 'PAN 1988', 'PAN 2011', 'PAN 2012', 'PAN 2013', 'PAN 2014', 'PAN 2015', 'URY 2011', 'URY 2013', 'URY 2015']"
3,BWA 1990 - 2006,"['BIH 1996', 'IRQ 1994', 'IRQ 2004', 'IRQ 2005', 'IRQ 2006', 'LBY 2005']"
4,USA 2004 - 2004,['USA 2004']
5,USA 2004 - 2011,"['BLR 2004', 'BLR 2005', 'KWT 2008']"
6,IND 2000 - 2015,"['BGD 2001', 'BGD 2007', 'IND 2013', 'IND 2014', 'IND 2015', 'MOZ 2003', 'PAK 2004', 'PAK 2005', 'PAK 2006', 'PAK 2007', 'PAK 2008', 'PAK 2009', 'PAK 2014', 'PAK 2015', 'SEN 2002', 'SEN 2009', 'SEN 2011']"
7,BRA 1995 - 2006,"['HTI 2005', 'HTI 2006', 'KWT 1995']"
8,MEX 1948 - 2008,[]
9,HUN 2010 - 2023,[]
10,SGP 1965 - 2005,"['BIH 1996', 'FIN 1992', 'IRQ 1991']"
11,TZA 1992 - 2020,"['LBR 1995', 'LBR 1998', 'LBR 2002', 'LBR 2003', 'MLI 1996', 'MLI 1999', 'MLI 2012', 'NIC 1998', 'SDN 2018', 'UGA 1995', 'UGA 2014']"
12,COL 2000 - 2016,"['NOR 2011', 'NOR 2012', 'NOR 2013', 'NOR 2014', 'CHE 2011', 'CHE 2012', 'CHE 2013', 'CHE 2014', 'CHE 2015', 'CHE 2016', 'ZWE 2001', 'USA 2014', 'USA 2015', 'USA 2016']"
13,NOR 1970 - 2013,"['GIN 1991', 'IRQ 1976', 'IRQ 2003', 'IRQ 2007', 'JOR 2006', 'JOR 2013', 'KWT 1991', 'KWT 1999', 'KWT 2011', 'KWT 2012', 'KWT 2013', 'LBN 1976', 'LBN 2013', 'LBR 1997', 'NAM 1989', 'SUR 1970', 'SUR 1971']"
